Item Code,Item Name,Item Group,Item category,Item Sub-Category,
CCOP-0068-Infraduct,"DWC Conduit Pipe - Black, UV Protected - 50mm (ID-38mm OD-50mm)-Infraduct",Conduit Pipe,Conduit Pipe,DWC Conduit Pipe Accessories,
ACCR-0027-Infraduct,"DWC Elbow - Black, UV Protected - 40mm-Infraduct",Elbow,Conduit Pipe,DWC Conduit Pipe Accessories,
ACCR-0028-Infraduct,"DWC T Bend - Black, UV Protected - 40mm-Infraduct",T Bend,Conduit Pipe,DWC Conduit Pipe Accessories,
COUP-0009-Infraduct,"DWC Coupler - Black, UV Protected - 40mm-Infraduct",Coupler,Conduit Pipe,DWC Conduit Pipe Accessories,
CCOP-0069-Infraduct,"DWC Conduit Pipe - Black, UV Protected - 40mm (ID-32mm OD-40mm)-Infraduct",Conduit Pipe,Conduit Pipe,DWC Conduit Pipe,
BATT-0001-Deye,Battery for Hybrid Inverter (5.3 kWh 104 Ah ) SE G5.3-Deye,Hybrid Inverter,Inverter,Hybrid Inverter,
INVS-0207-SOLAREDGE,Optimizer (S650B)-SOLAREDGE,III Gen,Inverter,SolarEdge Optimizer,
INVS-0206-SOLAREDGE,Optimizer (S1200)-SOLAREDGE,III Gen,Inverter,SolarEdge Optimizer,
INVS-0205-SOLAREDGE,100 kW 3 Phase Inverter SE100K-SOLAREDGE,III Gen,Inverter,3 Ph SolarEdge Inverter,
INVS-0204-SOLAREDGE,66.6 kW 3 Phase Inverter SE66.6K-SOLAREDGE,III Gen,Inverter,3 Ph SolarEdge Inverter,
INVS-0203-Deye,5 kW 1 Phase Hybrid Inverter SUN-5K-SG04LP1-EU-Deye,Hybrid Inverter,Inverter,1 Phase Hybrid Inverter,
NMTR-0044-Ashmor,Block type CT 300/5A Class 0.5s 5VA-Ashmor,Net Meter,Metering,CT,
INVM-0011-ENPHASE,Q Cable - Long for landscape (Q-12-20-200)-ENPHASE,Microinverter,Inverter,Enphase accessories,
ACAB-0085-KEI,Cu Flexible AC Wire 1C x 16 sqmm - Red-KEI,AC Cable,Cables,1C x 16 sqmm Cu AC Cable,
ACAB-0084-KEI,Cu Flexible AC Wire 1C x 16 sqmm - Black-KEI,AC Cable,Cables,1C x 16 sqmm Cu AC Cable,
ACAB-0083-KEI,Cu Flexible AC Wire 1C x 10 sqmm - Red-KEI,AC Cable,Cables,1C x 10 sqmm Cu AC Cable,
ACAB-0082-KEI,Cu Flexible AC Wire 1C x 10 sqmm - Black-KEI,AC Cable,Cables,1C x 10 sqmm Cu AC Cable,
KITS-0021,Earthing & LA Kit - 5 (with Gen 2 LA Stand & SS LA with Insulator Base),Kitt,Earthing & LA,Earthing & LA Kit,
ACAB-0079-KEI,Cu Flexible AC Wire 1C x 6 sqmm - Black-KEI,AC Cable,Cables,1C x 6 sqmm Cu AC Cable,
ACAB-0112-RR KABEL,Cu Flexible AC Wire 1C x 16 sqmm - Red-RR KABEL,AC Cable,Cables,1C x 16 sqmm Cu AC Cable,
ACAB-0113-RR KABEL,Cu Flexible AC Wire 1C x 16 sqmm - Black-RR KABEL,AC Cable,Cables,1C x 16 sqmm Cu AC Cable,
ACAB-0111-RR KABEL,Cu Flexible AC Wire 1C x 10 sqmm - Black-RR KABEL,AC Cable,Cables,1C x 10 sqmm Cu AC Cable,
ACAB-0110-RR KABEL,Cu Flexible AC Wire 1C x 10 sqmm - Red-RR KABEL,AC Cable,Cables,1C x 10 sqmm Cu AC Cable,
ACAB-0109-RR KABEL,Cu Flexible AC Wire 1C x 6 sqmm - Black-RR KABEL,AC Cable,Cables,1C x 6 sqmm Cu AC Cable,
ACAB-0108-RR KABEL,Cu Flexible AC Wire 1C x 6 sqmm - Red-RR KABEL,AC Cable,Cables,1C x 6 sqmm Cu AC Cable,
ACAB-0116-RR KABEL,Al Armoured AC Cable 2C x 16 sqmm-RR KABEL,AC Cable,Cables,2C x 16 sqmm Cu AC Cable,
ACAB-0078-KEI,Cu Flexible AC Wire 1C x 6 sqmm - Red-KEI,AC Cable,Cables,1C x 6 sqmm Cu AC Cable,
HCTY-0067,HDGI Cable Tray Jointer 240x40x1.6 with 4 holes,Cable Tray,Cable Tray,HDGI Cable Tray Jointer,
FCTY-0056-Aeron,"FRP Walkway 310x4038x25, Mesh 38x38, Thickness 7mm/5mm, Yellow-Aeron",FRP Walkway,Prefab MMS,FRP Walkway,
EACH-0016,Bentonite powder earthing chemical - 15 kg,Earthing Chemical,Earthing & LA,Earthing Chemical,
CCOP-0077-Astral,CPVC Ball Valve - 25 mm-Astral,Water Pipeline Accessories,Water Pipeline,Water Pipeline Accessories,
CCOP-0076-Astral,CPVC MTA - 25mm-Astral,Water Pipeline Accessories,Water Pipeline,Water Pipeline Accessories,
CALP-0014-COMET,35 sqmm Cu Pin Type Lug-COMET,Cu Pin Type Lug,Electrical BoS,Cu Pin Type Lug,
CALP-0014-JAINSON,35 sqmm Cu Pin Type Lug-JAINSON,Cu Pin Type Lug,Electrical BoS,Cu Pin Type Lug,
CALP-0014-DOWELL,35 sqmm Cu Pin Type Lug-DOWELL,Cu Pin Type Lug,Electrical BoS,Cu Pin Type Lug,
CALP-0013-COMET,35 sqmm Al Pin Type Lug-COMET,Al Pin Type Lug,Electrical BoS,Al Pin Type Lug,
CALP-0013-JAINSON,35 sqmm Al Pin Type Lug-JAINSON,Al Pin Type Lug,Electrical BoS,Al Pin Type Lug,
CALP-0013-DOWELL,35 sqmm Al Pin Type Lug-DOWELL,Al Pin Type Lug,Electrical BoS,Al Pin Type Lug,
INVS-0202-GROWATT,25 kW 3 Phase Inverter-GROWATT,II Gen,Inverter,3 Ph String Inverter,
EALA-0032,HDG LA Stand for Gen 2 rafter for PVC with insulator base,LA Accessory,Earthing & LA,LA Stand,
EALA-0031-RATNESHWAR METAL,Single Spike SS316 Conventional LA - 8mm Dia - 1 Mtr - With PVC Insulator Base-RATNESHWAR METAL,L A,Earthing & LA,Conventional LA,
COLU-3823,Column 3P 8FT Back Heavy Gen 2 (280x155x20x3 3310mm),Column,Prefab MMS,Column Gen 2,
COLU-3813,Column 3P 8FT Front Heavy Gen 2 (280x155x20x3 2677mm),Column,Prefab MMS,Column Gen 2,
COLU-3822,Column 3P 8FT Back Medium Gen 2 (190x145x15x3 3310mm),Column,Prefab MMS,Column Gen 2,
COLU-3812,Column 3P 8FT Front Medium Gen 2 (190x145x15x3 2677mm),Column,Prefab MMS,Column Gen 2,
COLU-3821,Column 3P 8FT Back Light Gen 2 (143x113x15x3  3310mm),Column,Prefab MMS,Column Gen 2,
COLU-3811,Column 3P 8FT Front Light Gen 2 (143x113x15x3 2677mm),Column,Prefab MMS,Column Gen 2,
COLU-2823,Column 2P 8FT Back Heavy Gen 2 (212x148x20x2 3000mm),Column,Prefab MMS,Column Gen 2,
COLU-2813,Column 2P 8FT Front Heavy Gen 2 (212x148x20x2 2615mm),Column,Prefab MMS,Column Gen 2,
COLU-2822,Column 2P 8FT Back Medium Gen 2 (163x123x15x2 3000mm),Column,Prefab MMS,Column Gen 2,
COLU-2812,Column 2P 8FT Front Medium Gen 2 (163x123x15x2 2615mm),Column,Prefab MMS,Column Gen 2,
COLU-2821,Column 2P 8FT Back Light Gen 2 (146x101x15x2 3000mm),Column,Prefab MMS,Column Gen 2,
